cpf,nome,idade,cidade
266.736.070-25,Cliente_81621,68,Belo Horizonte
782.383.329-82,Cliente_22327,84,São Paulo
181.306.687-69,Cliente_11436,68,Porto Alegre
796.487.659-79,Cliente_33678,84,Rio de Janeiro
399.086.469-66,Cliente_87356,27,São Paulo
559.099.679-16,Duplicata_Cliente_46537,72,Rio de Janeiro
606.914.229-23,Cliente_4128,72,Porto Alegre
997.572.128-14,Cliente_46655,57,Belo Horizonte
992.837.450-35,Cliente_26917,83,São Paulo
864.152.602-19,Cliente_27082,52,São Paulo
175.311.404-70,Cliente_17330,43,Porto Alegre
548.665.944-03,Cliente_10420,30,Belo Horizonte
243.252.910-32,Cliente_12777,35,Porto Alegre
776.329.835-97,Cliente_43971,87,Rio de Janeiro
234.648.876-34,Cliente_55606,53,Belo Horizonte
472.715.889-22,Cliente_19401,53,Rio de Janeiro
108.252.070-53,Cliente_89989,77,São Paulo
358.781.308-66,Cliente_51218,40,Rio de Janeiro
496.302.522-10,Cliente_60003,87,Porto Alegre
989.012.104-28,Cliente_4275,55,São Paulo
061.098.146-36,Cliente_56243,75,Porto Alegre
822.874.605-94,Cliente_61461,41,São Paulo
142.624.308-12,Cliente_917,23,São Paulo
103.814.177-00,Cliente_93989,46,Belo Horizonte
850.888.113-49,Cliente_34926,22,São Paulo
766.786.530-25,Cliente_73790,89,Porto Alegre
151.136.547-10,Cliente_70333,90,São Paulo
723.396.386-07,Cliente_71665,80,Belo Horizonte
791.304.771-23,Cliente_76225,18,Porto Alegre
524.380.973-02,Cliente_73390,72,São Paulo
456.302.849-59,Cliente_23959,37,Porto Alegre
608.860.673-83,Cliente_30665,59,Belo Horizonte
714.638.191-96,Cliente_39265,28,Porto Alegre
214.931.205-06,Cliente_89965,75,Rio de Janeiro
906.019.027-00,Cliente_44506,46,São Paulo
830.422.560-30,Cliente_36403,33,São Paulo
218.814.536-42,Cliente_12831,48,São Paulo
366.376.774-42,Cliente_28504,25,Rio de Janeiro
268.975.325-17,Cliente_60935,44,Rio de Janeiro
632.852.642-33,Cliente_45730,87,Belo Horizonte
847.034.885-07,Cliente_46569,26,Rio de Janeiro
684.415.353-88,Cliente_70682,30,São Paulo
084.302.445-30,Cliente_24445,28,Belo Horizonte
738.782.066-07,Cliente_47607,82,Porto Alegre
148.614.440-39,Cliente_97257,20,São Paulo
740.427.392-70,Cliente_65392,87,Rio de Janeiro
844.492.522-50,Duplicata_Cliente_42515,23,Rio de Janeiro
673.528.425-94,Cliente_48960,69,Belo Horizonte
546.191.344-06,Cliente_66791,18,Rio de Janeiro
726.640.061-93,Cliente_40234,51,Rio de Janeiro
174.940.165-70,Cliente_33577,47,Belo Horizonte
967.501.289-71,Cliente_77445,35,São Paulo
860.269.252-87,Cliente_96188,84,São Paulo
749.705.388-40,Cliente_37606,35,Porto Alegre
758.215.293-01,Cliente_1170,19,São Paulo
577.571.209-93,Cliente_50815,84,Belo Horizonte
285.506.090-72,Cliente_34829,84,Belo Horizonte
127.482.514-82,Cliente_77965,72,Rio de Janeiro
234.156.572-72,Cliente_14671,65,Rio de Janeiro
957.195.118-81,Cliente_61274,34,Porto Alegre
807.347.543-02,Cliente_37958,76,Rio de Janeiro
275.501.243-96,Cliente_20180,35,Porto Alegre
243.435.102-63,Cliente_68597,60,Porto Alegre
320.901.685-28,Cliente_95050,32,Belo Horizonte
291.310.985-33,Cliente_61401,23,Rio de Janeiro
335.626.252-19,Cliente_99619,74,Belo Horizonte
440.728.772-12,Cliente_8815,35,Belo Horizonte
214.529.505-47,Cliente_33647,33,Porto Alegre
026.304.771-77,Cliente_62878,47,Belo Horizonte
812.124.360-24,Cliente_42912,55,Porto Alegre
459.237.787-77,Cliente_2833,51,Porto Alegre
627.752.180-24,Cliente_45404,18,Belo Horizonte
654.336.006-29,Cliente_36444,85,São Paulo
336.021.860-40,Cliente_48427,66,Belo Horizonte
275.476.092-01,Cliente_21145,36,Rio de Janeiro
645.523.066-34,Duplicata_Cliente_27880,73,Rio de Janeiro
133.350.874-37,Cliente_32265,50,São Paulo
403.305.668-81,Cliente_62888,79,Rio de Janeiro
970.076.773-63,Cliente_83281,47,Porto Alegre
111.050.840-94,Cliente_8698,75,São Paulo
810.747.092-33,Cliente_98624,34,São Paulo
415.254.843-62,Cliente_26291,88,Porto Alegre
334.054.401-81,Cliente_22888,58,Belo Horizonte
550.262.087-54,Cliente_10110,31,Rio de Janeiro
697.197.429-84,Cliente_98667,83,Belo Horizonte
524.187.211-67,Cliente_41310,47,São Paulo
939.060.364-13,Cliente_12117,71,Belo Horizonte
362.578.862-44,Cliente_60370,38,São Paulo
131.516.635-67,Cliente_35336,68,São Paulo
672.672.974-04,Cliente_61338,22,Rio de Janeiro
646.363.528-66,Cliente_79808,73,Rio de Janeiro
299.302.721-27,Cliente_86747,37,Rio de Janeiro
504.808.010-61,Cliente_19630,69,Belo Horizonte
767.789.768-10,Cliente_6028,45,Porto Alegre
692.266.565-17,Duplicata_Cliente_82905,56,Belo Horizonte
910.795.629-07,Cliente_77637,29,Porto Alegre
598.326.139-81,Cliente_66515,40,Belo Horizonte
298.744.771-05,Cliente_25076,85,Porto Alegre
768.369.159-39,Cliente_93347,68,São Paulo
451.316.916-80,Duplicata_Cliente_34869,63,Porto Alegre
850.983.016-96,Cliente_64074,72,São Paulo
214.758.037-61,Cliente_60878,79,São Paulo
051.476.130-05,Cliente_51450,37,Porto Alegre
219.050.687-51,Cliente_31856,70,Porto Alegre
746.557.404-85,Duplicata_Cliente_4253,25,São Paulo
089.442.046-16,Cliente_51812,67,Porto Alegre
452.173.898-26,Cliente_79344,45,São Paulo
039.576.634-66,Cliente_57750,31,São Paulo
453.045.391-09,Cliente_99799,74,Rio de Janeiro
867.887.813-46,Cliente_31212,72,Porto Alegre
053.704.029-30,Cliente_50936,71,Rio de Janeiro
847.208.528-74,Cliente_11030,71,São Paulo
723.411.522-60,Duplicata_Cliente_57240,23,Rio de Janeiro
275.234.401-50,Cliente_80551,75,Porto Alegre
407.199.196-81,Cliente_33316,20,Belo Horizonte
126.651.522-40,Cliente_16956,29,Belo Horizonte
646.609.847-88,Cliente_34326,64,Porto Alegre
632.852.642-33,Duplicata_Cliente_45730,87,Belo Horizonte
161.620.675-64,Cliente_53434,56,Rio de Janeiro
059.418.387-19,Cliente_31956,42,Belo Horizonte
417.543.742-80,Cliente_43161,84,Belo Horizonte
538.256.996-76,Duplicata_Cliente_32797,68,Belo Horizonte
576.253.931-86,Cliente_97006,90,Belo Horizonte
061.650.984-79,Cliente_20771,81,Rio de Janeiro
237.924.163-52,Cliente_35631,82,Rio de Janeiro
921.635.399-62,Cliente_17360,58,Rio de Janeiro
841.976.951-79,Cliente_65583,47,Porto Alegre
401.752.576-80,Cliente_55241,60,São Paulo
660.186.227-42,Cliente_99230,30,Porto Alegre
014.090.726-22,Cliente_50970,44,Belo Horizonte
857.626.209-64,Duplicata_Cliente_93014,65,Porto Alegre
309.490.458-02,Cliente_97700,60,Porto Alegre
527.520.509-09,Cliente_26943,48,Porto Alegre
743.238.644-77,Cliente_18123,84,São Paulo
283.228.674-76,Cliente_44167,85,Porto Alegre
143.335.778-02,Cliente_18045,23,Belo Horizonte
095.450.647-22,Cliente_76283,67,Porto Alegre
737.378.655-31,Cliente_96286,45,Porto Alegre
673.528.425-94,Duplicata_Cliente_48960,69,Belo Horizonte
883.801.133-81,Cliente_80166,85,Porto Alegre
114.492.976-84,Cliente_32594,24,São Paulo
400.338.194-75,Cliente_24316,65,Porto Alegre
056.926.391-30,Cliente_77496,76,Rio de Janeiro
168.538.329-73,Duplicata_Cliente_30097,25,Belo Horizonte
465.793.864-95,Cliente_75270,29,Belo Horizonte
422.734.504-94,Duplicata_Cliente_82901,74,Belo Horizonte
640.437.287-86,Cliente_32924,76,Rio de Janeiro
492.607.067-77,Cliente_84488,22,Porto Alegre
212.053.769-09,Cliente_71031,63,São Paulo
004.024.217-01,Duplicata_Cliente_69271,77,Porto Alegre
554.400.422-61,Cliente_24079,65,São Paulo
961.110.118-04,Duplicata_Cliente_83372,89,Porto Alegre
516.868.882-95,Cliente_39102,77,Belo Horizonte
705.066.134-10,Cliente_11177,22,Rio de Janeiro
511.738.100-99,Cliente_59541,20,Belo Horizonte
763.140.650-20,Cliente_96806,84,Belo Horizonte
129.105.368-90,Cliente_81927,29,Rio de Janeiro
913.292.729-00,Cliente_47019,48,Porto Alegre
497.671.244-38,Cliente_64910,25,Belo Horizonte
371.884.365-09,Cliente_59120,84,Porto Alegre
152.530.459-37,Cliente_29757,87,Porto Alegre
250.823.353-67,Cliente_98650,47,Porto Alegre
051.533.013-20,Cliente_17300,74,Rio de Janeiro
271.887.060-50,Cliente_70336,41,Belo Horizonte
296.358.841-09,Cliente_51320,77,Porto Alegre
008.569.869-50,Cliente_73899,54,Rio de Janeiro
908.183.735-47,Cliente_99221,78,São Paulo
965.809.616-60,Cliente_73810,51,Rio de Janeiro
217.823.588-38,Cliente_56827,57,Rio de Janeiro
504.461.031-36,Cliente_71663,42,Belo Horizonte
053.035.427-69,Cliente_20261,26,Belo Horizonte
197.667.258-96,Cliente_35870,85,Belo Horizonte
293.929.949-82,Cliente_6568,87,Belo Horizonte
483.188.570-38,Cliente_99335,69,Porto Alegre
022.741.487-08,Cliente_322,71,Belo Horizonte
092.725.386-02,Cliente_51933,47,Belo Horizonte
066.014.842-02,Cliente_17639,66,Belo Horizonte
304.415.900-80,Cliente_55283,50,Porto Alegre
435.131.541-51,Cliente_12876,62,Belo Horizonte
820.941.564-60,Cliente_19621,69,Belo Horizonte
385.235.578-81,Cliente_31599,71,Rio de Janeiro
249.949.745-94,Cliente_60457,86,São Paulo
294.305.619-79,Duplicata_Cliente_62181,74,Rio de Janeiro
497.590.846-86,Cliente_22617,83,Porto Alegre
470.692.753-66,Cliente_16014,44,Belo Horizonte
561.376.065-97,Cliente_66698,71,Belo Horizonte
181.558.727-00,Cliente_74410,32,São Paulo
037.565.153-54,Cliente_41672,50,Rio de Janeiro
784.892.411-47,Cliente_26426,68,Belo Horizonte
090.947.886-40,Cliente_99500,28,Rio de Janeiro
041.562.739-70,Cliente_79832,59,Porto Alegre
636.090.080-75,Cliente_66434,87,São Paulo
147.370.038-83,Cliente_29336,78,Rio de Janeiro
452.599.685-49,Cliente_83591,42,Porto Alegre
040.654.399-22,Cliente_87140,25,Rio de Janeiro
707.944.758-50,Cliente_87121,77,Porto Alegre
036.372.231-98,Cliente_11578,66,São Paulo
802.555.695-64,Cliente_69549,38,Porto Alegre
546.189.235-39,Cliente_61059,88,Belo Horizonte
464.208.713-36,Cliente_41723,29,Porto Alegre
449.643.302-81,Cliente_60813,57,Rio de Janeiro
792.443.606-59,Cliente_64995,46,Porto Alegre
051.054.900-45,Duplicata_Cliente_75065,89,São Paulo
343.091.303-99,Cliente_84193,53,São Paulo
863.220.290-10,Cliente_61730,49,São Paulo
668.636.842-33,Cliente_54751,32,São Paulo
311.250.074-19,Cliente_63415,90,Rio de Janeiro
915.836.211-80,Cliente_70526,60,Belo Horizonte
168.925.880-26,Cliente_41823,43,Belo Horizonte
107.668.512-90,Cliente_88947,46,Belo Horizonte
535.550.060-96,Cliente_26069,59,Porto Alegre
872.006.869-72,Cliente_22399,22,Belo Horizonte
245.387.853-00,Cliente_35155,39,Belo Horizonte
887.419.357-21,Cliente_73932,50,Porto Alegre
247.917.547-27,Cliente_87597,44,Rio de Janeiro
172.362.901-49,Cliente_14912,31,Belo Horizonte
255.217.553-81,Cliente_1853,72,São Paulo
644.310.197-90,Cliente_61348,42,São Paulo
075.979.592-49,Cliente_16733,78,Belo Horizonte
500.462.370-89,Cliente_48526,87,Belo Horizonte
934.816.101-65,Cliente_37242,87,Rio de Janeiro
698.312.683-18,Cliente_74000,47,Belo Horizonte
117.488.953-54,Cliente_36647,20,Rio de Janeiro
360.601.693-09,Cliente_23200,77,Belo Horizonte
289.578.503-17,Cliente_23343,43,Rio de Janeiro
526.315.414-30,Cliente_19323,34,Rio de Janeiro
396.084.120-56,Cliente_13511,50,Porto Alegre
543.979.703-35,Cliente_66870,87,Belo Horizonte
362.578.862-44,Duplicata_Cliente_60370,38,São Paulo
754.612.490-51,Cliente_46448,54,São Paulo
641.319.614-90,Cliente_31875,24,Rio de Janeiro
352.419.838-48,Cliente_47847,39,Rio de Janeiro
755.664.273-91,Cliente_95838,88,Belo Horizonte
227.170.120-10,Cliente_74710,33,Rio de Janeiro
983.411.150-93,Duplicata_Cliente_13035,75,Porto Alegre
026.612.554-94,Cliente_73298,85,Belo Horizonte
680.069.841-58,Cliente_40570,81,Porto Alegre
698.113.772-00,Cliente_99513,20,Rio de Janeiro
740.032.789-50,Cliente_4321,29,São Paulo
930.981.707-00,Cliente_17057,26,Belo Horizonte
667.153.483-75,Cliente_54948,77,Belo Horizonte
911.184.333-00,Cliente_76727,38,Porto Alegre
728.009.592-58,Cliente_96339,89,Rio de Janeiro
745.094.042-63,Cliente_68992,90,Porto Alegre
032.623.959-60,Cliente_27779,69,Porto Alegre
734.961.660-02,Cliente_90087,79,Belo Horizonte
539.430.327-44,Cliente_262,29,Rio de Janeiro
761.315.437-80,Cliente_3565,53,Rio de Janeiro
692.266.565-17,Cliente_82905,56,Belo Horizonte
310.506.883-09,Cliente_58814,44,Belo Horizonte
592.663.433-40,Cliente_20270,78,São Paulo
207.142.389-53,Cliente_23445,41,São Paulo
761.726.634-02,Cliente_76644,53,Rio de Janeiro
887.553.511-66,Cliente_28487,35,São Paulo
298.744.771-05,Duplicata_Cliente_25076,85,Porto Alegre
752.897.173-15,Cliente_18651,42,São Paulo
492.102.337-94,Cliente_87744,68,Belo Horizonte
955.552.097-62,Cliente_78229,62,Rio de Janeiro
451.316.916-80,Duplicata_Cliente_34869,63,Porto Alegre
850.530.125-04,Cliente_68297,35,Porto Alegre
459.726.293-80,Cliente_90736,33,Belo Horizonte
992.936.606-79,Cliente_12551,56,São Paulo
009.677.584-08,Cliente_50714,18,São Paulo
457.006.466-33,Cliente_31144,57,São Paulo
435.298.833-28,Cliente_76103,32,São Paulo
486.113.864-77,Cliente_84578,90,Porto Alegre
983.624.375-53,Cliente_90832,69,São Paulo
641.531.764-43,Cliente_53397,56,Rio de Janeiro
408.481.093-25,Cliente_20638,29,Rio de Janeiro
498.075.225-01,Cliente_23855,66,Belo Horizonte
351.490.662-90,Cliente_78010,39,Rio de Janeiro
011.039.911-08,Cliente_17860,23,Belo Horizonte
589.158.244-90,Cliente_82666,46,Rio de Janeiro
303.511.013-14,Duplicata_Cliente_56580,35,Belo Horizonte
436.053.906-17,Cliente_44656,25,Rio de Janeiro
374.956.563-52,Cliente_57666,43,Rio de Janeiro
073.444.875-94,Cliente_88479,84,Belo Horizonte
107.510.550-18,Cliente_98718,48,Rio de Janeiro
725.928.480-37,Cliente_41604,47,São Paulo
573.480.048-14,Cliente_60529,41,Belo Horizonte
872.273.112-10,Cliente_58168,36,Belo Horizonte
917.205.985-09,Cliente_91435,18,Porto Alegre
729.761.363-00,Cliente_95219,59,São Paulo
484.749.393-13,Cliente_91772,57,Belo Horizonte
438.584.691-06,Cliente_66026,42,São Paulo
319.858.685-20,Cliente_43312,21,São Paulo
547.039.556-10,Cliente_4234,37,São Paulo
053.672.895-09,Cliente_96326,89,Belo Horizonte
396.676.563-22,Cliente_73349,44,Porto Alegre
957.287.684-82,Cliente_15813,19,Belo Horizonte
912.259.703-42,Cliente_78022,28,Rio de Janeiro
590.263.953-02,Cliente_67324,71,Rio de Janeiro
021.805.667-27,Cliente_55926,21,Belo Horizonte
877.626.815-23,Cliente_16329,83,São Paulo
069.544.059-49,Duplicata_Cliente_77716,38,Belo Horizonte
705.344.125-30,Cliente_82367,70,São Paulo
189.404.589-07,Cliente_17787,90,Porto Alegre
140.814.736-09,Cliente_98638,63,Porto Alegre
403.031.792-87,Cliente_11485,66,Rio de Janeiro
335.437.087-40,Cliente_73640,18,Rio de Janeiro
383.622.755-02,Duplicata_Cliente_43958,52,Rio de Janeiro
945.174.428-29,Cliente_75723,61,São Paulo
545.848.224-76,Cliente_79540,56,São Paulo
899.328.804-69,Cliente_70803,65,Belo Horizonte
523.558.095-85,Cliente_17937,80,Porto Alegre
250.146.672-10,Cliente_63563,59,Rio de Janeiro
899.001.745-93,Cliente_20425,74,Belo Horizonte
710.337.987-46,Cliente_8318,79,São Paulo
678.040.106-48,Cliente_70136,51,Rio de Janeiro
794.320.100-07,Cliente_80556,84,São Paulo
673.644.937-51,Cliente_89413,71,Porto Alegre
827.925.851-53,Cliente_22887,71,Rio de Janeiro
219.025.531-79,Cliente_12831,81,Belo Horizonte
245.433.319-82,Cliente_25253,66,Belo Horizonte
547.877.529-01,Cliente_23760,38,Porto Alegre
421.017.210-31,Cliente_2413,53,Porto Alegre
605.632.843-07,Cliente_51200,70,Belo Horizonte
789.305.348-80,Cliente_27934,25,Porto Alegre
093.532.121-70,Cliente_87654,70,Belo Horizonte
895.907.777-16,Duplicata_Cliente_99695,88,Porto Alegre
998.199.866-48,Cliente_53045,48,Rio de Janeiro
484.602.633-71,Cliente_57540,26,Porto Alegre
232.017.048-06,Cliente_1713,23,Porto Alegre
547.569.644-60,Cliente_84178,58,São Paulo
516.598.962-31,Cliente_42108,90,Rio de Janeiro
639.914.682-80,Cliente_43999,41,São Paulo
005.288.517-80,Duplicata_Cliente_21005,25,Rio de Janeiro
074.942.145-26,Cliente_38792,58,São Paulo
073.901.454-47,Cliente_93503,29,Porto Alegre
254.723.485-87,Cliente_79297,18,Rio de Janeiro
156.229.120-32,Cliente_30457,50,Porto Alegre
793.146.928-33,Cliente_66700,81,Belo Horizonte
344.003.219-16,Cliente_23148,57,São Paulo
616.223.173-94,Cliente_47337,68,Belo Horizonte
614.134.003-29,Cliente_64156,82,São Paulo
430.290.125-06,Cliente_14997,74,Porto Alegre
990.023.962-87,Cliente_25537,19,Rio de Janeiro
378.043.932-88,Cliente_28060,35,Belo Horizonte
857.626.209-64,Cliente_93014,65,Porto Alegre
561.203.346-02,Cliente_47020,24,Belo Horizonte
673.474.602-04,Cliente_28130,84,Porto Alegre
794.013.063-38,Cliente_44581,54,Belo Horizonte
491.595.635-08,Cliente_35832,55,Belo Horizonte
668.008.108-43,Cliente_68564,26,Rio de Janeiro
596.348.656-40,Cliente_36784,74,Rio de Janeiro
534.760.696-72,Cliente_39751,27,Porto Alegre
567.035.327-70,Cliente_27915,44,Belo Horizonte
763.391.390-86,Cliente_7452,39,Porto Alegre
973.647.029-62,Cliente_34005,75,Belo Horizonte
145.092.368-24,Duplicata_Cliente_72950,33,Porto Alegre
393.604.766-92,Cliente_59993,57,Belo Horizonte
422.735.410-23,Cliente_46772,68,Porto Alegre
231.197.244-83,Cliente_2054,88,Porto Alegre
856.266.439-15,Cliente_19655,57,São Paulo
827.224.373-33,Cliente_67407,53,Rio de Janeiro
743.302.219-85,Cliente_67176,48,Belo Horizonte
002.673.160-62,Cliente_13163,90,Porto Alegre
409.095.460-61,Cliente_78647,74,Belo Horizonte
652.787.517-70,Cliente_43907,72,São Paulo
816.136.632-26,Cliente_91475,30,Belo Horizonte
173.706.363-80,Cliente_69499,77,Rio de Janeiro
168.538.329-73,Cliente_30097,25,Belo Horizonte
663.818.413-03,Cliente_41456,32,Rio de Janeiro
830.469.486-70,Cliente_13593,37,São Paulo
470.428.916-86,Cliente_59210,57,Belo Horizonte
801.415.426-67,Cliente_79094,71,Porto Alegre
653.287.375-63,Cliente_12768,31,Belo Horizonte
090.200.062-40,Cliente_28202,65,Porto Alegre
422.734.504-94,Cliente_82901,74,Belo Horizonte
607.198.984-12,Cliente_19486,81,Belo Horizonte
532.596.859-95,Cliente_15135,72,Belo Horizonte
141.341.325-09,Cliente_33555,36,Porto Alegre
827.624.736-91,Cliente_62868,18,Belo Horizonte
955.377.346-05,Cliente_69053,37,Porto Alegre
581.662.205-63,Cliente_75758,59,Belo Horizonte
004.024.217-01,Cliente_69271,77,Porto Alegre
400.635.113-55,Cliente_46657,85,Porto Alegre
192.290.433-38,Cliente_60342,34,Rio de Janeiro
502.552.092-40,Cliente_97280,30,Porto Alegre
532.922.633-36,Cliente_49682,73,Rio de Janeiro
516.868.882-95,Duplicata_Cliente_39102,77,Belo Horizonte
071.928.924-67,Cliente_88322,62,Porto Alegre
150.514.858-80,Cliente_35657,72,Rio de Janeiro
032.788.051-19,Cliente_71409,52,Belo Horizonte
716.061.139-09,Cliente_79372,26,São Paulo
906.073.113-12,Cliente_97838,22,Porto Alegre
021.789.132-29,Cliente_97772,47,Belo Horizonte
824.155.689-61,Cliente_30669,26,São Paulo
304.466.200-17,Duplicata_Cliente_68394,27,Porto Alegre
807.889.176-84,Cliente_68298,79,São Paulo
337.171.241-96,Cliente_17661,25,Porto Alegre
926.963.617-89,Cliente_40173,42,Belo Horizonte
424.356.260-10,Duplicata_Cliente_21604,65,São Paulo
870.074.929-08,Cliente_18913,81,Rio de Janeiro
045.632.718-53,Cliente_17752,35,Porto Alegre
346.175.249-59,Cliente_97141,34,Porto Alegre
950.555.821-03,Cliente_56215,33,São Paulo
352.839.932-56,Cliente_66832,84,Belo Horizonte
436.419.670-31,Cliente_31022,55,Porto Alegre
649.027.419-11,Cliente_62558,74,São Paulo
536.624.991-00,Cliente_90494,52,Porto Alegre
565.623.660-97,Cliente_11313,67,Rio de Janeiro
734.883.862-60,Cliente_38993,36,Porto Alegre
908.183.735-47,Duplicata_Cliente_99221,78,São Paulo
339.756.585-50,Cliente_6019,78,Belo Horizonte
152.675.633-15,Cliente_76211,38,São Paulo
681.822.776-71,Cliente_16366,58,Belo Horizonte
950.960.613-88,Cliente_62429,35,Rio de Janeiro
599.020.937-10,Cliente_26887,41,Belo Horizonte
859.208.196-34,Cliente_84000,90,Rio de Janeiro
936.042.214-20,Cliente_95587,81,Porto Alegre
881.338.008-97,Cliente_61105,61,Rio de Janeiro
520.919.843-02,Cliente_94456,30,Porto Alegre
543.092.850-07,Cliente_1504,72,Belo Horizonte
433.075.047-38,Cliente_84297,38,Rio de Janeiro
916.096.296-80,Cliente_53679,79,Porto Alegre
430.063.814-40,Cliente_33415,23,Rio de Janeiro
784.862.759-46,Cliente_65031,23,Porto Alegre
097.712.147-05,Cliente_93202,33,Belo Horizonte
966.444.594-04,Cliente_31345,62,Rio de Janeiro
098.447.838-87,Cliente_48192,86,São Paulo
091.052.690-75,Cliente_2913,50,Rio de Janeiro
462.529.357-00,Cliente_62017,90,Belo Horizonte
934.215.441-74,Cliente_25263,72,Porto Alegre
686.371.345-48,Cliente_65211,25,Rio de Janeiro
331.741.984-96,Cliente_65519,67,Belo Horizonte
991.369.167-22,Cliente_10584,60,São Paulo
736.353.966-99,Cliente_15407,33,São Paulo
488.902.000-49,Cliente_48099,50,Belo Horizonte
767.704.981-89,Cliente_22971,67,Belo Horizonte
532.538.889-40,Cliente_75134,77,Belo Horizonte
887.683.346-30,Cliente_23947,79,Porto Alegre
959.700.675-80,Cliente_10404,60,Porto Alegre
403.999.903-72,Cliente_45240,22,Belo Horizonte
970.016.248-61,Cliente_8575,88,Belo Horizonte
637.256.949-31,Cliente_34131,90,Belo Horizonte
371.519.613-08,Cliente_18693,83,São Paulo
351.852.213-21,Cliente_63035,27,Rio de Janeiro
430.137.305-52,Cliente_2257,84,Rio de Janeiro
815.974.566-40,Cliente_15743,42,São Paulo
572.955.962-32,Cliente_42914,33,Belo Horizonte
518.783.678-11,Cliente_94451,30,São Paulo
315.524.423-22,Cliente_46967,25,São Paulo
443.391.637-40,Cliente_78558,39,Rio de Janeiro
147.370.225-94,Cliente_33143,70,São Paulo
117.689.904-09,Cliente_1931,39,Belo Horizonte
682.055.567-92,Cliente_89774,57,Porto Alegre
542.145.926-89,Cliente_79754,61,Belo Horizonte
853.526.194-00,Cliente_81997,74,São Paulo
094.372.170-92,Cliente_76098,83,Porto Alegre
563.242.226-75,Duplicata_Cliente_95019,21,São Paulo
692.008.195-40,Cliente_86304,80,São Paulo
953.066.945-35,Cliente_31451,76,Belo Horizonte
772.658.396-76,Cliente_12750,37,São Paulo
929.872.372-51,Cliente_62939,60,Rio de Janeiro
533.185.033-20,Cliente_94938,58,São Paulo
906.915.642-30,Cliente_79831,80,Rio de Janeiro
051.054.900-45,Cliente_75065,89,São Paulo
508.840.499-90,Cliente_91655,67,Rio de Janeiro
421.187.809-31,Cliente_30324,87,Porto Alegre
169.607.981-08,Cliente_43550,24,Porto Alegre
777.018.923-38,Cliente_11749,59,Belo Horizonte
845.497.452-07,Cliente_2901,55,Belo Horizonte
746.467.558-40,Cliente_38297,33,Rio de Janeiro
198.362.651-12,Cliente_55246,37,Rio de Janeiro
529.489.374-69,Cliente_33451,46,São Paulo
980.952.262-20,Cliente_76739,85,Porto Alegre
656.364.555-00,Duplicata_Cliente_82640,58,São Paulo
606.672.017-18,Cliente_51983,37,Rio de Janeiro
351.882.343-43,Cliente_7428,77,São Paulo
680.065.709-30,Cliente_87462,67,Porto Alegre
743.033.657-42,Cliente_50752,34,Belo Horizonte
415.224.767-33,Cliente_58361,47,São Paulo
